编号	普通话	方言	发音	注释
0424	江米酒	甜糟	diŋ44nʒau441 	酒酿，醪糟
0425	茶叶	茶米	da21mi41 	
0426	沏	烹 冲	pœuŋ331 couŋ331 	～茶 ～茶
0427	冰棍儿	冰箸	biŋ44nøi23 	
0428	做饭	装饭	zoruŋ44maŋ35 	统称
0429	炒菜	装菜	zoruŋ44cai35 	统称，和做饭相对
0430	煮	煠	sak2 	～带壳的鸡蛋
0431	煎	熇	hork5 	～鸡蛋
0432	炸	烰	pu21 	～油条
0433	蒸	𤊟	deiŋ23 	～鱼
0434	揉	揉	nøi23 	～面做馒头等
0435	擀	擀	goruŋ35 	～面，～皮儿
0436	吃早饭	食饭	sek44bouŋ23 	
0437	吃午饭	食昼	sek44dau35 	
0438	吃晚饭	食冥	sek44maŋ21 	
0439	吃	食	sek2 	～饭
0440	喝	食	sek2 	～酒
0441	喝	食	sek2 	～茶
0442	抽	食	sek2 	～烟
0443	盛	贮	dik5 	～饭
0444	夹	夹	giak5 	用筷子～菜
0445	斟	漀	keiŋ21 	～酒
0446	渴	焦 渴	da331 kak5 	口～ 口～
0447	饿	饥	gøi331 	肚子～
0448	噎	干饥	gaŋ44ŋøi331 	吃饭～着了
0449	头	头	tau21 	人的，统称
0450	头发	头发	tau21uk5 	
0451	辫子	辫囝	biŋ44ŋiaŋ41 	
0452	旋	螺	lori21 	
0453	额头	额头舷	ŋe44lau21iŋ21 	
0454	相貌	相貌	sioŋ55mau23 	
0455	脸	面	meiŋ35 	洗～
0456	眼睛	目珠	mi44zeu331 	
0457	眼珠	目珠仁	mu23u44neiŋ331 	统称
0458	眼泪	目汁	mi44lek5 	哭的时候流出来的
0459	眉毛	眉脐毛	mi21ai21mor21 	
0460	耳朵	耳朵	ŋe44lor41 	
0461	鼻子	鼻公	pi55œuŋ331 	
0462	鼻涕	鼻	pi55 	统称
0463	擤	㪗	to41 	～鼻涕
0464	嘴巴	喙	cøi35 	人的，统称
0465	嘴唇	喙皮	ci55βui21 	
0466	口水	澜	laŋ41 	～流出来
0467	舌头	喙舌	ci55lik2 	
0468	牙齿	喙齿	ci55i51 	
0469	下巴	下廊	a44loruŋ21 	
0470	胡子	喙须	ci55leu331 	嘴周围的
0471	脖子	脰肳	dau44uŋ41 	
0472	喉咙	喉咙	ha21lœuŋ21 	
0473	肩膀	肩头	giŋ23nau331 	
0474	胳膊	手肚	ciu35lu51 	
0475	手	手	ciu41 	方言指(打√)：只指手；包括臂：他的～摔断了
0476	左手	勿会爿手	mae23βaeiŋ23nʒiu41 	
0477	右手	会爿手	ae23βaeiŋ23nʒiu41 	
0478	拳头	拳头	guŋ21nau21 	
0479	手指	跣头	ziŋ35nau51 	
0480	大拇指	跣头母	ziŋ44nau55mor51 	
0481	食指	二指	ni44ʒai331 	
0482	中指	中指	doruŋ44nʒai331 	
0483	无名指	无名指	wu21miaŋ21i41 	
0484	小拇指	跣头囝	ziŋ44nau55iaŋ51 	
0485	指甲	跣甲	ziŋ55ŋak5 	
0486	腿	骹腿	ka23løi331 	
0487	脚	骹	ka331 	方言指(打√)：只指脚；包括小腿；包括小腿和大腿：他的～压断了
0488	膝盖	骹腹头	ka44u55lau21 	指部位
0489	背	背中	bor35loruŋ331 	名词
0490	肚子	腹肚	bu55lu51 	腹部
0491	肚脐	腹脐	bu55ʒai21 	
0492	乳房	月能	naeiŋ35 	女性的
0493	屁股	股	gu55luŋ44mae331 	
0494	肛门	股	gu55luŋ331 	
0495	阴茎	朘鸟 把把	lori21ziu41 ba21ba35 	成人的 成人的
0496	女阴	逼 屄	bik5 bae331 	成人的 成人的
0497	肏	操屄	caeu21bae331 	动词
0498	精液	精	zeiŋ331 	
